Phoenix,LA Lakers,time_rem
2-2,2-2,48M 0S
0,0,47M 47S
2,0,47M 35S
2,2,46M 15S
4,2,46M 6S
4,3,45M 38S
4,4,45M 38S
6,4,45M 23S
6,7,44M 33S
8,7,43M 37S
8,10,43M 17S
8,12,42M 50S
10,12,42M 6S
13,12,41M 16S
13,14,40M 28S
13,17,39M 59S
15,17,39M 16S
18,17,38M 46S
21,17,37M 34S
21,19,37M 17S
21,22,36M 54S
22,22,36M 43S
23,22,36M 43S
23,24,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,26,35M 30S
25,26,35M 18S
25,29,34M 55S
25,32,34M 22S
25,34,33M 51S
25,36,33M 18S
27,36,33M 12S
27,37,32M 49S
29,37,32M 37S
30,37,32M 37S
33,37,32M 12S
33,40,31M 53S
35,40,31M 41S
38,40,30M 23S
Jump ball: D. Schröder vs. J. Crowder (A. Drummond gains possession),NA,29M 56S
39,40,29M 23S
40,40,29M 23S
43,40,29M 9S
43,43,28M 36S
44,43,28M 13S
44,46,27M 30S
44,48,27M 0S
47,48,26M 50S
48,48,25M 52S
49,48,25M 52S
49,50,25M 34S
51,50,25M 14S
54,50,24M 40S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,50,23M 15S
56,50,23M 15S
58,50,22M 45S
60,50,22M 20S
60,51,22M 1S
60,52,22M 1S
62,52,21M 21S
62,54,21M 1S
64,54,20M 47S
66,54,20M 30S
68,54,20M 2S
68,55,19M 42S
68,56,19M 42S
68,58,18M 20S
69,58,18M 0S
69,59,16M 57S
69,60,16M 57S
71,60,16M 46S
72,60,16M 17S
73,60,16M 17S
75,60,15M 34S
75,61,15M 20S
75,63,14M 10S
75,64,13M 37S
77,64,13M 22S
79,64,12M 59S
79,65,12M 38S
80,65,12M 20S
81,65,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,67,11M 40S
83,67,10M 50S
85,67,10M 9S
85,69,9M 47S
87,69,9M 19S
87,72,8M 27S
88,72,8M 6S
88,74,7M 19S
88,77,5M 42S
91,77,5M 19S
91,78,5M 7S
91,79,5M 7S
91,81,4M 15S
93,81,3M 57S
93,84,3M 43S
95,84,3M 21S
95,87,3M 8S
95,88,2M 40S
98,88,1M 23S
98,90,1M 14S
100,90,59S
100,92,53S
End of 4th quarter,NA,0S
