Toronto,Orlando,time_rem
9-12,8-14,48M 0S
0,0,47M 40S
0,3,47M 26S
0,4,46M 55S
0,6,46M 43S
0,8,45M 53S
0,10,45M 32S
0,11,45M 32S
3,11,44M 42S
3,13,44M 22S
3,14,44M 22S
4,14,44M 3S
5,14,44M 3S
8,14,43M 28S
8,16,43M 8S
9,16,42M 59S
10,16,42M 59S
12,16,42M 37S
14,16,41M 54S
17,16,41M 22S
17,18,41M 12S
20,18,40M 19S
23,18,39M 58S
23,21,39M 43S
26,21,39M 27S
28,21,38M 45S
28,23,37M 57S
28,25,37M 27S
28,28,37M 0S
29,28,36M 47S
30,28,36M 47S
30,31,36M 20S
33,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,31,35M 16S
36,31,35M 16S
36,34,35M 1S
37,34,34M 36S
38,34,34M 36S
40,34,34M 12S
40,37,33M 55S
40,40,33M 19S
40,42,32M 39S
41,42,32M 19S
42,42,32M 19S
42,43,31M 41S
42,45,31M 8S
42,47,30M 42S
45,47,30M 12S
45,49,29M 39S
45,50,29M 39S
45,52,29M 9S
47,52,28M 27S
47,54,28M 13S
49,54,28M 0S
52,54,27M 31S
53,54,27M 16S
54,54,27M 16S
54,55,26M 31S
54,56,26M 31S
57,56,26M 10S
58,56,25M 39S
59,56,25M 39S
59,57,25M 32S
62,57,25M 19S
64,57,24M 57S
64,60,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,63,23M 43S
64,65,23M 13S
64,68,22M 37S
65,68,22M 3S
66,68,22M 3S
69,68,21M 36S
69,70,21M 19S
69,72,20M 6S
71,72,19M 52S
72,72,19M 52S
72,73,19M 52S
72,75,19M 29S
73,75,19M 7S
74,75,19M 7S
74,77,18M 38S
77,77,17M 51S
80,77,17M 22S
82,77,16M 8S
85,77,15M 37S
88,77,15M 4S
88,80,14M 47S
90,80,14M 30S
92,80,14M 9S
94,80,13M 25S
94,82,13M 4S
96,82,12M 51S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,84,10M 9S
99,84,9M 55S
101,84,9M 12S
101,86,8M 52S
101,88,8M 25S
101,89,8M 25S
103,89,8M 2S
104,89,8M 2S
104,91,7M 26S
106,91,7M 21S
106,93,7M 6S
106,94,7M 6S
109,94,6M 24S
109,95,6M 7S
110,95,5M 52S
111,95,5M 52S
111,97,5M 34S
111,99,5M 17S
113,99,5M 2S
115,99,4M 45S
115,102,4M 0S
117,102,3M 46S
120,102,2M 37S
120,105,2M 19S
120,108,1M 42S
123,108,59S
End of 4th quarter,NA,0S
