Brooklyn,Detroit,time_rem
31-15,12-32,48M 0S
3,0,47M 44S
3,1,46M 58S
3,3,46M 31S
4,3,46M 0S
5,3,46M 0S
5,5,45M 46S
7,5,45M 31S
7,8,45M 9S
7,10,43M 41S
7,11,43M 14S
10,11,42M 59S
10,12,42M 38S
10,13,42M 38S
12,13,42M 24S
12,16,42M 13S
14,16,41M 40S
15,16,41M 13S
16,16,41M 13S
17,16,41M 13S
17,17,41M 3S
17,19,40M 50S
19,19,40M 38S
19,22,39M 57S
20,22,39M 52S
21,22,39M 52S
21,24,39M 31S
24,24,39M 24S
26,24,39M 3S
26,26,37M 54S
27,26,37M 42S
28,26,37M 42S
29,26,37M 21S
32,26,37M 2S
33,26,36M 26S
34,26,36M 26S
34,27,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 18S
36,29,34M 53S
38,29,34M 30S
38,31,34M 3S
38,32,33M 52S
38,33,33M 50S
39,33,33M 50S
42,33,33M 34S
42,35,33M 16S
43,35,31M 34S
44,35,30M 38S
44,36,30M 31S
44,37,30M 31S
46,37,30M 20S
46,40,28M 50S
49,40,28M 36S
49,41,28M 24S
49,42,28M 24S
51,42,28M 4S
51,44,27M 32S
53,44,26M 46S
54,44,26M 15S
55,44,26M 15S
57,44,25M 57S
57,47,25M 31S
59,47,24M 38S
59,49,24M 31S
59,50,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,52,23M 29S
61,52,23M 14S
63,52,22M 18S
63,55,21M 29S
63,56,20M 32S
63,57,20M 32S
63,58,20M 32S
65,58,20M 15S
65,59,19M 53S
65,61,19M 38S
67,61,19M 30S
67,63,18M 51S
Jump ball: D. Jordan vs. J. Grant (J. Harden gains possession),NA,18M 19S
69,63,18M 13S
69,66,17M 57S
71,66,16M 35S
71,68,15M 47S
72,68,15M 35S
73,68,15M 35S
73,69,15M 27S
73,70,15M 27S
75,70,15M 3S
75,72,14M 53S
75,73,14M 31S
75,74,14M 31S
75,76,14M 5S
76,76,13M 42S
77,76,13M 42S
77,78,12M 54S
78,78,12M 35S
79,78,12M 35S
82,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,80,11M 34S
82,81,11M 10S
82,82,11M 10S
85,82,10M 41S
88,82,10M 16S
89,82,10M 0S
92,82,9M 47S
92,83,9M 30S
92,84,9M 30S
95,84,9M 13S
95,87,8M 49S
98,87,8M 30S
98,88,8M 14S
98,89,8M 14S
98,90,8M 14S
100,90,7M 57S
100,93,6M 57S
102,93,6M 28S
102,95,6M 7S
102,98,5M 28S
102,101,4M 53S
104,101,4M 32S
104,102,4M 11S
106,102,3M 55S
106,103,3M 36S
106,104,3M 2S
106,106,2M 19S
108,106,2M 6S
109,106,2M 6S
109,107,1M 21S
112,107,58S
112,109,50S
112,110,6S
113,110,5S
113,111,4S
End of 4th quarter,NA,0S
