Indiana,Miami,time_rem
18-22,22-20,48M 0S
0,0,47M 40S
0,1,46M 17S
0,2,46M 17S
0,4,45M 48S
3,4,45M 29S
3,6,44M 53S
3,8,43M 45S
6,8,43M 34S
8,8,42M 47S
11,8,42M 13S
11,10,41M 31S
11,11,41M 31S
13,11,40M 33S
13,12,40M 17S
13,13,40M 17S
15,13,40M 1S
15,14,39M 54S
15,15,39M 54S
18,15,39M 44S
18,17,39M 38S
20,17,39M 18S
20,19,39M 4S
22,19,38M 58S
24,19,38M 44S
24,22,38M 23S
26,22,38M 5S
26,23,37M 50S
26,24,37M 50S
26,26,37M 27S
26,28,37M 6S
28,28,36M 53S
30,28,36M 35S
30,30,36M 24S
32,30,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,32,35M 14S
34,32,35M 0S
36,32,34M 42S
38,32,34M 18S
41,32,33M 30S
41,35,32M 36S
42,35,32M 1S
43,35,32M 1S
44,35,31M 40S
45,35,31M 40S
45,36,31M 30S
45,37,31M 30S
48,37,31M 12S
50,37,30M 47S
52,37,30M 19S
52,38,30M 6S
52,39,30M 6S
52,41,29M 37S
52,42,29M 10S
52,43,29M 10S
53,43,29M 1S
54,43,29M 1S
54,46,28M 44S
54,47,28M 18S
54,48,28M 18S
56,48,27M 42S
56,50,27M 18S
59,50,27M 9S
61,50,25M 58S
62,50,25M 58S
62,51,25M 49S
62,52,25M 49S
64,52,25M 38S
64,54,25M 22S
66,54,25M 5S
66,56,24M 53S
68,56,24M 42S
68,58,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,58,23M 33S
73,58,23M 1S
76,58,21M 53S
76,60,21M 22S
76,63,20M 47S
Jump ball: K. Olynyk vs. J. Holiday (B. Adebayo gains possession),NA,20M 17S
76,65,20M 9S
78,65,19M 48S
78,67,19M 23S
81,67,18M 23S
81,69,18M 6S
Jump ball: J. Butler vs. M. Brogdon (K. Nunn gains possession),NA,17M 54S
84,69,17M 33S
87,69,16M 46S
87,71,15M 54S
89,71,15M 34S
89,73,15M 22S
89,76,14M 58S
92,76,14M 2S
95,76,13M 38S
95,78,13M 26S
95,80,12M 48S
97,80,12M 32S
97,82,12M 15S
99,82,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,82,11M 21S
104,82,11M 7S
104,84,10M 46S
106,84,10M 29S
106,87,10M 10S
106,90,9M 30S
106,93,8M 58S
108,93,8M 34S
108,95,8M 16S
110,95,8M 3S
110,98,7M 41S
111,98,7M 30S
112,98,7M 30S
113,98,7M 30S
114,98,7M 30S
116,98,6M 42S
118,98,6M 22S
120,98,5M 50S
120,100,5M 4S
123,100,4M 43S
126,100,4M 22S
129,100,3M 50S
130,100,3M 17S
130,102,2M 57S
133,102,2M 46S
133,104,2M 28S
136,104,2M 18S
136,106,2M 2S
136,108,57S
137,108,36S
137,110,23S
End of 4th quarter,NA,0S
