Miami,Memphis,time_rem
22-19,18-19,48M 0S
0,0,47M 45S
0,3,47M 24S
1,3,46M 9S
1,4,45M 53S
1,7,45M 12S
3,7,43M 55S
5,7,43M 27S
8,7,43M 4S
9,7,42M 40S
10,7,42M 40S
10,10,42M 29S
12,10,42M 14S
14,10,41M 48S
14,12,41M 15S
14,14,40M 55S
14,15,39M 53S
14,16,39M 53S
17,16,38M 35S
18,16,38M 35S
18,18,38M 13S
18,19,38M 13S
20,19,38M 4S
20,22,37M 45S
22,22,37M 29S
22,25,36M 50S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,27,35M 1S
24,27,33M 59S
24,30,33M 44S
24,32,32M 47S
25,32,32M 24S
26,32,32M 24S
26,34,32M 14S
28,34,31M 55S
31,34,31M 6S
31,36,30M 47S
33,36,30M 30S
36,36,30M 9S
36,37,29M 54S
36,38,29M 54S
36,41,28M 48S
36,43,28M 32S
38,43,28M 8S
40,43,27M 41S
40,45,27M 19S
40,46,27M 19S
42,46,26M 33S
45,46,26M 4S
47,46,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,48,23M 3S
49,48,22M 45S
49,51,22M 31S
52,51,22M 1S
54,51,21M 15S
56,51,20M 24S
57,51,20M 24S
57,53,19M 3S
59,53,18M 51S
59,55,18M 3S
61,55,17M 40S
63,55,17M 6S
63,57,16M 51S
63,58,16M 22S
63,61,15M 49S
63,62,15M 21S
63,64,14M 9S
63,66,13M 41S
63,68,13M 9S
63,69,12M 39S
63,70,12M 39S
63,72,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,72,11M 42S
65,72,11M 42S
65,73,10M 36S
67,73,10M 21S
69,73,9M 51S
69,76,9M 39S
70,76,8M 23S
71,76,8M 23S
71,78,8M 6S
74,78,7M 2S
74,80,6M 41S
74,81,4M 32S
76,81,4M 9S
76,82,3M 39S
76,83,3M 39S
79,83,3M 21S
81,83,3M 5S
83,83,1M 12S
83,84,29S
83,85,29S
84,85,8S
85,85,8S
85,87,1S
85,88,0S
85,89,0S
End of 4th quarter,NA,0S
