Atlanta,LA Clippers,time_rem
22-21,28-16,48M 0S
0,0,47M 39S
0,3,47M 30S
2,3,47M 8S
2,5,46M 55S
2,7,46M 12S
2,9,45M 53S
4,9,44M 37S
4,12,44M 19S
6,12,43M 57S
6,14,43M 36S
7,14,42M 56S
8,14,42M 56S
8,15,42M 36S
8,16,42M 36S
8,18,41M 37S
11,18,41M 13S
11,21,41M 0S
13,21,40M 48S
15,21,40M 24S
15,23,40M 10S
18,23,39M 51S
18,26,39M 37S
20,26,39M 17S
22,26,38M 37S
24,26,38M 12S
27,26,37M 48S
27,27,36M 59S
27,28,36M 59S
29,28,36M 28S
29,30,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,32,35M 36S
30,32,35M 19S
30,34,34M 45S
32,34,33M 43S
34,34,32M 55S
35,34,32M 55S
37,34,32M 28S
38,34,32M 28S
41,34,32M 0S
41,36,31M 22S
44,36,30M 37S
44,38,29M 46S
46,38,29M 22S
47,38,28M 52S
48,38,28M 52S
48,40,28M 27S
48,42,28M 15S
48,43,28M 15S
50,43,27M 57S
52,43,27M 31S
53,43,27M 13S
53,44,26M 56S
53,45,26M 56S
55,45,26M 28S
58,45,26M 1S
60,45,25M 30S
61,45,24M 31S
62,45,24M 31S
63,45,24M 31S
63,48,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,48,23M 29S
66,49,22M 48S
66,50,22M 48S
66,53,21M 48S
68,53,21M 23S
68,56,21M 7S
70,56,20M 43S
71,56,20M 43S
73,56,20M 10S
75,56,19M 43S
75,59,19M 24S
78,59,19M 4S
80,59,18M 30S
80,61,18M 11S
82,61,17M 48S
82,63,17M 46S
82,64,17M 46S
84,64,17M 27S
84,66,16M 54S
86,66,16M 30S
88,66,16M 15S
88,68,16M 2S
88,71,14M 58S
88,72,14M 22S
88,73,14M 22S
88,74,13M 54S
88,76,13M 36S
88,79,12M 54S
90,79,12M 41S
90,82,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,84,11M 29S
93,84,11M 13S
93,85,10M 49S
93,86,10M 49S
93,89,10M 22S
96,89,10M 0S
96,91,9M 38S
98,91,9M 4S
100,91,7M 24S
100,93,7M 2S
103,93,6M 48S
103,96,6M 31S
103,98,5M 52S
103,99,5M 52S
103,101,5M 16S
103,103,4M 35S
105,103,4M 7S
105,105,3M 39S
108,105,3M 24S
108,106,3M 10S
108,107,3M 10S
108,110,2M 42S
108,113,1M 57S
108,116,1M 23S
110,116,1M 20S
110,119,57S
End of 4th quarter,NA,0S
