Miami,Milwaukee,time_rem
0-1,1-0,48M 0S
3,0,47M 39S
6,0,46M 59S
6,2,46M 42S
9,2,45M 28S
9,4,45M 8S
9,6,44M 43S
11,6,44M 33S
11,7,44M 7S
11,8,43M 35S
13,8,43M 25S
13,10,41M 53S
15,10,40M 14S
15,13,40M 1S
15,15,39M 29S
17,15,38M 57S
20,15,38M 18S
20,17,37M 57S
20,19,37M 30S
20,20,37M 30S
22,20,36M 51S
22,22,36M 30S
24,22,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,22,34M 57S
26,24,34M 14S
29,24,34M 2S
29,26,33M 49S
29,28,33M 4S
30,28,32M 45S
31,28,32M 45S
34,28,32M 5S
34,31,31M 51S
35,31,31M 14S
36,31,31M 14S
36,33,30M 53S
37,33,30M 35S
38,33,30M 35S
38,35,30M 2S
39,35,29M 50S
40,35,29M 50S
40,36,28M 43S
40,37,28M 43S
40,39,28M 15S
40,41,27M 44S
40,43,26M 55S
43,43,26M 41S
43,45,26M 25S
44,45,26M 9S
44,47,25M 56S
44,49,25M 32S
47,49,24M 36S
47,51,24M 27S
49,51,24M 8S
50,51,24M 8S
50,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,54,23M 50S
50,55,23M 50S
52,55,23M 15S
52,57,21M 57S
52,59,21M 43S
54,59,21M 0S
54,62,20M 45S
57,62,20M 30S
59,62,20M 5S
59,64,19M 46S
62,64,19M 14S
65,64,18M 41S
65,67,18M 20S
68,67,17M 56S
68,69,17M 40S
70,69,17M 26S
70,71,17M 9S
70,73,16M 20S
73,73,15M 18S
73,75,14M 54S
75,75,14M 42S
75,76,14M 36S
75,78,13M 31S
78,78,12M 56S
78,80,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,80,11M 45S
81,81,11M 14S
81,82,11M 14S
83,82,10M 6S
83,84,9M 2S
86,84,8M 53S
86,86,8M 37S
86,87,6M 49S
86,88,6M 49S
89,88,6M 36S
89,90,6M 4S
90,90,5M 30S
90,93,4M 21S
91,93,4M 6S
92,93,4M 6S
93,93,4M 6S
93,94,3M 53S
93,95,3M 20S
Jump ball: B. Lopez vs. J. Butler (G. Antetokounmpo gains possession),NA,2M 15S
93,96,1M 38S
93,97,1M 38S
96,97,1M 27S
97,97,57S
97,98,34S
Jump ball: K. Middleton vs. G. Dragić (G. Antetokounmpo gains possession),NA,12S
97,99,9S
99,99,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: B. Adebayo vs. B. Lopez (G. Antetokounmpo gains possession),NA,5M 0S
99,101,4M 37S
99,102,4M 13S
102,102,3M 45S
104,102,2M 40S
104,104,2M 14S
104,105,1M 4S
104,107,39S
107,107,20S
107,109,0S
End of 1st overtime,NA,0S
