San Antonio,Brooklyn,time_rem
33-36,46-24,48M 0S
2,0,47M 44S
2,2,47M 25S
2,4,46M 54S
4,4,46M 37S
4,7,46M 27S
6,7,45M 38S
6,9,45M 20S
6,11,45M 1S
8,11,44M 27S
8,13,44M 5S
10,13,43M 41S
10,16,43M 23S
12,16,42M 52S
12,18,42M 32S
14,18,42M 4S
16,18,41M 41S
16,20,41M 27S
16,22,40M 29S
16,24,39M 35S
16,26,38M 46S
16,27,38M 46S
16,29,38M 16S
16,31,37M 40S
17,31,37M 18S
18,31,37M 18S
18,32,37M 1S
20,32,36M 31S
20,35,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,35,35M 31S
22,35,35M 7S
23,35,35M 7S
25,35,34M 7S
28,35,33M 35S
28,37,33M 19S
31,37,32M 8S
34,37,31M 38S
34,38,31M 20S
34,39,31M 20S
37,39,31M 6S
37,40,30M 55S
37,41,30M 55S
40,41,30M 33S
40,44,30M 11S
42,44,29M 13S
42,46,28M 55S
44,46,28M 23S
44,49,27M 48S
44,51,26M 30S
44,53,26M 6S
46,53,25M 41S
46,55,25M 28S
48,55,25M 8S
48,56,24M 55S
48,57,24M 55S
51,57,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,59,23M 45S
53,59,23M 32S
53,61,23M 23S
53,63,23M 1S
55,63,22M 8S
57,63,21M 40S
57,65,21M 26S
59,65,21M 12S
59,68,20M 54S
61,68,20M 39S
61,71,20M 26S
62,71,20M 12S
62,72,20M 1S
62,73,20M 1S
64,73,19M 46S
64,76,19M 22S
64,77,18M 57S
64,78,18M 57S
64,80,18M 28S
66,80,18M 10S
66,82,17M 58S
68,82,17M 37S
68,84,17M 13S
69,84,17M 5S
70,84,17M 5S
72,84,16M 43S
73,84,16M 43S
73,86,16M 32S
73,87,16M 6S
73,88,16M 6S
74,88,15M 52S
75,88,15M 52S
75,90,15M 19S
77,90,15M 2S
78,90,15M 2S
78,92,14M 50S
78,95,14M 33S
79,95,14M 20S
80,95,14M 20S
81,95,13M 52S
81,96,13M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,98,11M 32S
83,98,11M 14S
83,99,11M 2S
83,100,10M 19S
86,100,9M 59S
86,102,9M 28S
89,102,9M 15S
89,103,9M 5S
89,104,9M 5S
89,106,8M 20S
89,108,7M 56S
91,108,6M 36S
92,108,6M 36S
94,108,6M 24S
95,108,6M 24S
95,110,6M 10S
97,110,5M 53S
97,111,5M 44S
99,111,5M 32S
100,111,5M 32S
100,113,4M 53S
101,113,4M 45S
102,113,4M 45S
102,115,4M 28S
104,115,4M 7S
104,117,3M 50S
106,117,3M 23S
106,119,3M 2S
108,119,2M 20S
108,122,1M 53S
110,122,1M 46S
110,125,1M 25S
111,125,1M 12S
112,125,1M 12S
114,125,40S
114,128,29S
116,128,18S
End of 4th quarter,NA,0S
