Milwaukee,Miami,time_rem
4-0,0-4,48M 0S
0,0,47M 44S
0,2,47M 27S
2,2,47M 14S
2,4,46M 39S
4,4,46M 23S
4,7,46M 5S
6,7,45M 19S
6,10,44M 30S
8,10,43M 2S
8,12,42M 30S
10,12,41M 19S
10,15,41M 9S
12,15,40M 14S
12,18,40M 7S
12,19,39M 48S
12,20,39M 48S
12,22,39M 12S
13,22,38M 56S
15,22,38M 28S
15,24,38M 12S
17,24,37M 56S
17,26,37M 40S
18,26,37M 30S
19,26,37M 30S
22,26,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,28,35M 33S
24,28,35M 15S
24,31,35M 12S
24,33,34M 35S
26,33,34M 20S
29,33,33M 58S
29,35,33M 44S
29,37,33M 21S
31,37,33M 0S
31,38,32M 32S
31,41,31M 50S
34,41,31M 41S
34,43,30M 32S
34,44,30M 17S
34,45,30M 17S
37,45,30M 9S
39,45,29M 37S
39,47,29M 19S
39,48,28M 57S
39,49,28M 57S
41,49,28M 49S
41,51,28M 32S
44,51,28M 19S
44,53,27M 57S
46,53,27M 31S
46,55,27M 17S
46,58,26M 58S
49,58,26M 29S
50,58,26M 29S
50,60,26M 15S
51,60,26M 6S
51,62,25M 48S
52,62,25M 24S
53,62,25M 24S
55,62,25M 0S
55,63,24M 54S
55,64,24M 54S
56,64,24M 27S
57,64,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,66,21M 58S
59,66,21M 42S
62,66,21M 14S
62,68,20M 51S
63,68,20M 25S
65,68,20M 3S
66,68,19M 10S
67,68,19M 10S
68,68,18M 52S
69,68,18M 52S
72,68,18M 23S
72,70,18M 5S
74,70,17M 57S
77,70,17M 33S
79,70,17M 6S
81,70,16M 45S
81,71,16M 20S
81,72,16M 20S
83,72,16M 7S
83,74,15M 51S
86,74,14M 36S
86,77,14M 24S
89,77,14M 14S
89,80,14M 3S
89,82,13M 7S
91,82,12M 8S
91,85,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,86,11M 44S
93,86,11M 26S
95,86,10M 42S
95,88,10M 31S
98,88,10M 10S
98,90,9M 45S
101,90,9M 28S
103,90,8M 33S
104,90,8M 33S
104,92,8M 13S
106,92,6M 51S
106,94,6M 39S
106,97,6M 12S
108,97,5M 44S
110,97,5M 13S
110,99,5M 2S
112,99,4M 39S
112,101,4M 25S
114,101,2M 57S
116,101,2M 32S
118,101,1M 46S
120,101,1M 11S
120,103,18S
End of 4th quarter,NA,0S
