Charlotte,Dallas,time_rem
2-2,1-3,48M 0S
0,2,46M 39S
0,4,46M 2S
0,5,45M 24S
0,6,45M 24S
2,6,45M 7S
2,8,44M 55S
4,8,44M 38S
7,8,43M 56S
9,8,43M 3S
9,9,42M 51S
11,9,42M 32S
11,12,42M 16S
11,14,42M 3S
13,14,41M 58S
16,14,40M 57S
16,17,40M 38S
17,17,40M 18S
18,17,40M 18S
18,20,40M 9S
19,20,39M 56S
20,20,39M 56S
20,22,39M 20S
23,22,38M 54S
23,24,38M 41S
24,24,38M 36S
25,24,38M 36S
25,26,38M 10S
26,26,38M 9S
29,26,37M 58S
29,29,37M 41S
31,29,37M 20S
34,29,36M 59S
36,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,29,35M 37S
38,32,35M 23S
38,33,34M 41S
38,35,34M 22S
38,36,34M 22S
40,36,34M 5S
41,36,34M 5S
41,38,33M 23S
43,38,33M 11S
44,38,33M 11S
44,40,32M 25S
47,40,32M 7S
47,42,31M 47S
47,44,31M 5S
48,44,30M 47S
49,44,30M 47S
49,45,30M 29S
52,45,30M 16S
52,46,30M 5S
52,47,30M 5S
54,47,29M 46S
54,48,29M 40S
54,49,29M 40S
56,49,29M 20S
58,49,29M 0S
60,49,28M 34S
63,49,27M 20S
63,51,27M 8S
65,51,26M 49S
66,51,26M 35S
66,54,26M 9S
66,57,25M 52S
68,57,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,57,23M 35S
73,57,23M 18S
76,57,22M 36S
77,57,22M 2S
79,57,21M 38S
82,57,21M 3S
82,58,20M 18S
83,58,19M 58S
84,58,19M 58S
84,60,18M 55S
86,60,18M 34S
88,60,17M 58S
90,60,17M 11S
90,62,17M 0S
90,65,16M 34S
92,65,16M 7S
92,67,15M 52S
95,67,15M 25S
98,67,14M 56S
98,68,13M 0S
98,69,13M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,72,11M 48S
98,74,11M 23S
100,74,11M 12S
102,74,10M 34S
102,75,10M 18S
102,76,9M 38S
102,77,9M 38S
102,80,9M 11S
102,81,8M 19S
103,81,7M 41S
104,81,7M 41S
106,81,7M 17S
108,81,6M 47S
108,83,6M 15S
111,83,5M 36S
111,85,5M 19S
111,86,5M 18S
111,88,4M 52S
111,91,4M 27S
114,91,4M 4S
114,93,3M 22S
114,95,2M 49S
116,95,2M 30S
118,95,1M 49S
118,96,1M 7S
118,99,36S
End of 4th quarter,NA,0S
