Atlanta,New Orleans,time_rem
25-24,21-27,48M 0S
0,0,47M 44S
3,0,47M 15S
3,2,47M 2S
3,4,46M 35S
3,6,46M 3S
3,8,45M 12S
3,10,44M 52S
5,10,44M 4S
5,12,43M 46S
6,12,43M 35S
7,12,43M 35S
10,12,43M 13S
10,14,42M 45S
10,17,42M 20S
12,17,42M 3S
12,19,41M 50S
15,19,41M 36S
15,21,41M 24S
17,21,41M 5S
19,21,40M 37S
21,21,40M 7S
21,23,39M 53S
22,23,39M 41S
22,25,39M 24S
24,25,39M 8S
24,26,38M 20S
24,27,38M 20S
24,28,38M 0S
24,29,38M 0S
26,29,37M 45S
27,29,37M 45S
28,29,37M 33S
28,32,36M 50S
28,34,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,35M 17S
30,36,35M 6S
32,36,34M 53S
34,36,34M 29S
36,36,33M 19S
36,38,32M 59S
37,38,32M 13S
38,38,32M 13S
38,40,31M 54S
41,40,31M 33S
43,40,31M 14S
43,42,30M 58S
43,45,30M 9S
45,45,29M 52S
Jump ball: B. Bogdanović vs. J. Hayes (C. Capela gains possession),NA,29M 19S
46,45,28M 38S
47,45,28M 38S
49,45,28M 4S
49,46,27M 52S
49,48,27M 24S
49,49,26M 46S
49,50,26M 46S
51,50,26M 24S
51,52,25M 54S
51,54,25M 33S
53,54,24M 42S
55,54,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,54,22M 59S
60,54,22M 5S
60,55,21M 56S
60,56,21M 56S
63,56,21M 40S
65,56,21M 15S
67,56,20M 28S
67,59,19M 47S
67,61,19M 13S
68,61,18M 50S
69,61,18M 50S
70,61,18M 32S
71,61,18M 32S
74,61,17M 58S
74,64,17M 38S
77,64,17M 18S
79,64,16M 32S
81,64,16M 16S
83,64,15M 21S
83,66,15M 4S
85,66,14M 41S
85,69,14M 27S
85,71,14M 5S
88,71,13M 49S
90,71,13M 33S
90,74,13M 18S
90,77,12M 56S
92,77,12M 42S
94,77,12M 8S
94,79,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,81,11M 46S
96,81,10M 58S
97,81,10M 58S
97,82,10M 36S
99,82,10M 26S
99,84,10M 10S
101,84,9M 35S
103,84,8M 59S
103,86,8M 41S
106,86,8M 19S
106,88,7M 50S
107,88,7M 37S
107,90,7M 9S
107,91,7M 9S
110,91,6M 52S
113,91,6M 31S
115,91,5M 34S
115,92,5M 16S
115,93,5M 16S
118,93,4M 53S
118,95,4M 18S
118,96,3M 49S
118,97,3M 49S
120,97,3M 37S
120,98,2M 56S
120,99,2M 56S
122,99,2M 44S
124,99,2M 14S
124,100,2M 1S
124,101,2M 1S
124,103,1M 32S
126,103,1M 16S
End of 4th quarter,NA,0S
