Detroit,LA Lakers,time_rem
5-18,18-6,48M 0S
0,2,47M 51S
1,2,47M 30S
1,4,47M 17S
1,6,47M 1S
3,6,46M 34S
3,8,46M 23S
3,9,44M 38S
3,10,44M 38S
5,10,44M 23S
5,12,43M 47S
8,12,43M 32S
8,14,43M 21S
9,14,43M 9S
10,14,43M 9S
11,14,42M 30S
12,14,42M 30S
14,14,42M 8S
14,17,41M 43S
16,17,41M 25S
16,19,41M 16S
16,21,40M 55S
19,21,40M 39S
19,23,40M 18S
21,23,40M 0S
23,23,39M 32S
26,23,37M 52S
26,25,37M 26S
29,25,36M 58S
29,26,36M 20S
29,27,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 48S
32,29,35M 26S
32,30,34M 59S
32,31,34M 59S
33,31,34M 43S
33,33,34M 25S
33,35,33M 52S
36,35,33M 39S
36,37,32M 48S
36,40,31M 59S
36,42,31M 11S
37,42,30M 54S
38,42,30M 54S
38,44,30M 35S
38,45,30M 35S
39,45,30M 7S
40,45,30M 7S
40,47,29M 58S
40,50,29M 31S
42,50,29M 14S
44,50,28M 37S
44,52,28M 18S
47,52,28M 4S
47,54,27M 52S
47,55,27M 32S
47,56,27M 32S
47,58,26M 48S
47,59,26M 18S
48,59,25M 53S
49,59,25M 6S
49,61,24M 44S
51,61,24M 31S
51,63,24M 25S
54,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,63,23M 6S
56,63,23M 6S
58,63,22M 29S
58,66,22M 10S
58,68,21M 34S
59,68,21M 24S
59,69,21M 8S
59,70,21M 8S
61,70,20M 55S
61,72,19M 5S
61,73,18M 25S
63,73,16M 58S
63,76,16M 34S
63,77,16M 23S
63,78,16M 23S
63,80,15M 55S
66,80,15M 17S
66,82,15M 7S
69,82,14M 59S
72,82,14M 27S
74,82,14M 10S
75,82,14M 10S
75,84,13M 21S
77,84,12M 36S
77,86,12M 18S
78,86,12M 4S
78,88,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,88,11M 13S
80,89,10M 49S
81,89,10M 38S
82,89,10M 38S
82,91,10M 8S
82,92,10M 8S
85,92,9M 53S
85,94,9M 32S
88,94,9M 8S
90,94,8M 56S
90,96,8M 8S
90,98,7M 39S
92,98,7M 17S
95,98,6M 17S
95,100,5M 57S
98,100,5M 41S
98,102,5M 18S
98,104,4M 45S
100,104,4M 19S
100,106,4M 6S
102,106,3M 10S
104,106,1M 59S
106,106,3S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: M. Plumlee vs. A. Davis (D. Wright gains possession),NA,5M 0S
108,106,4M 41S
110,106,3M 46S
110,108,3M 13S
110,109,3M 13S
112,109,2M 57S
113,109,2M 57S
113,112,2M 5S
113,114,1M 42S
115,114,1M 29S
116,114,1M 29S
Jump ball: A. Davis vs. M. Plumlee (L. James gains possession),NA,1M 3S
116,116,46S
117,116,26S
118,116,26S
118,118,18S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
Jump ball: M. Plumlee vs. A. Davis (L. James gains possession),NA,5M 0S
120,118,3M 19S
120,121,3M 0S
122,121,2M 38S
122,123,2M 10S
122,126,1M 17S
122,127,1M 8S
122,128,1M 8S
124,128,55S
124,131,34S
127,131,31S
127,132,26S
127,133,26S
129,133,16S
129,134,16S
129,135,16S
End of 2nd overtime,NA,0S
