Boston,Houston,time_rem
20-18,11-26,48M 0S
0,3,47M 42S
1,3,47M 28S
2,3,47M 28S
2,5,47M 18S
4,5,46M 9S
4,7,45M 59S
5,7,45M 54S
6,7,45M 54S
6,9,45M 38S
6,10,45M 21S
6,13,44M 49S
9,13,44M 30S
11,13,43M 49S
11,16,43M 32S
11,18,43M 7S
14,18,42M 39S
14,21,42M 24S
15,21,42M 16S
16,21,42M 16S
16,23,42M 2S
18,23,41M 48S
18,24,41M 31S
20,24,41M 21S
20,26,41M 6S
20,28,40M 45S
22,28,39M 47S
22,29,39M 41S
25,29,39M 26S
28,29,38M 53S
30,29,38M 29S
30,32,38M 4S
32,32,37M 20S
35,32,37M 4S
36,32,36M 41S
36,33,36M 32S
36,34,36M 32S
38,34,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,34,35M 52S
42,34,34M 23S
45,34,33M 39S
45,36,32M 37S
47,36,32M 16S
49,36,31M 25S
51,36,30M 59S
54,36,30M 26S
54,37,29M 50S
55,37,29M 26S
55,40,29M 14S
57,40,28M 50S
57,43,28M 40S
57,45,28M 24S
60,45,28M 17S
62,45,27M 56S
64,45,27M 30S
64,47,27M 13S
64,48,26M 18S
64,49,26M 18S
64,50,25M 53S
64,51,25M 53S
66,51,25M 5S
66,53,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,53,23M 47S
68,54,23M 29S
68,55,23M 29S
69,55,23M 19S
70,55,23M 19S
71,55,23M 19S
74,55,22M 51S
74,57,22M 32S
77,57,22M 20S
79,57,21M 59S
79,59,21M 44S
82,59,21M 23S
82,61,19M 51S
84,61,18M 50S
84,62,18M 13S
84,63,18M 13S
86,63,17M 54S
88,63,17M 7S
88,65,16M 16S
88,67,15M 50S
90,67,15M 31S
92,67,15M 4S
92,69,13M 47S
94,69,13M 29S
96,69,13M 15S
96,71,12M 56S
97,71,12M 48S
98,71,12M 48S
101,71,12M 26S
101,72,12M 5S
104,72,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,75,11M 40S
104,76,11M 5S
104,77,11M 5S
106,77,10M 45S
109,77,10M 27S
111,77,9M 57S
111,80,9M 30S
112,80,9M 8S
112,81,8M 57S
112,82,8M 57S
115,82,8M 43S
115,83,8M 31S
115,84,8M 31S
118,84,8M 18S
118,86,8M 2S
121,86,7M 46S
121,89,7M 35S
123,89,6M 58S
125,89,5M 16S
125,92,5M 0S
128,92,3M 58S
128,95,3M 41S
128,98,3M 3S
128,101,2M 31S
130,101,2M 10S
130,104,1M 54S
132,104,1M 40S
132,107,46S
134,107,33S
End of 4th quarter,NA,0S
