Chicago,Miami,time_rem
25-35,32-29,48M 0S
0,0,47M 46S
0,2,47M 19S
0,5,46M 46S
1,5,46M 30S
1,8,45M 32S
3,8,45M 11S
6,8,44M 47S
6,11,44M 22S
6,14,43M 57S
6,17,43M 24S
9,17,42M 30S
9,19,42M 13S
9,21,41M 49S
11,21,41M 33S
11,22,41M 13S
11,23,41M 13S
11,24,40M 12S
11,25,40M 12S
13,25,39M 49S
13,27,39M 31S
15,27,38M 48S
15,29,38M 21S
18,29,37M 13S
18,31,36M 55S
18,32,36M 14S
18,33,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,33,35M 34S
20,35,34M 18S
23,35,33M 53S
23,38,33M 35S
23,40,32M 58S
23,41,32M 28S
23,42,32M 28S
23,45,32M 9S
25,45,31M 39S
25,47,31M 26S
25,48,31M 26S
27,48,31M 9S
29,48,29M 43S
32,48,29M 8S
32,51,28M 54S
32,54,28M 10S
35,54,27M 33S
35,55,26M 43S
35,56,26M 43S
35,59,26M 7S
37,59,25M 44S
39,59,24M 51S
39,61,24M 30S
41,61,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,61,23M 23S
43,63,22M 32S
44,63,21M 57S
46,63,21M 32S
46,65,21M 17S
46,68,20M 13S
47,68,19M 55S
48,68,19M 55S
50,68,18M 59S
51,68,18M 44S
52,68,18M 44S
54,68,17M 9S
54,70,16M 48S
54,71,16M 14S
56,71,15M 33S
56,73,15M 11S
56,75,14M 50S
56,78,14M 13S
59,78,13M 59S
60,78,12M 44S
61,78,12M 44S
61,79,12M 32S
61,80,12M 32S
63,80,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,80,11M 33S
68,80,10M 40S
69,80,10M 40S
69,83,10M 20S
72,83,10M 7S
74,83,9M 28S
74,85,9M 12S
76,85,8M 57S
78,85,8M 27S
81,85,7M 50S
81,86,7M 28S
81,87,7M 28S
84,87,7M 9S
84,89,6M 52S
84,91,6M 23S
87,91,6M 14S
87,94,5M 57S
89,94,5M 35S
89,96,5M 16S
89,97,4M 56S
92,97,4M 24S
92,99,4M 4S
92,101,3M 33S
94,101,3M 18S
96,101,2M 3S
96,103,34S
97,103,30S
98,103,30S
99,103,30S
101,103,15S
101,104,12S
101,105,12S
101,106,1S
End of 4th quarter,NA,0S
