Boston,Detroit,time_rem
4-3,1-5,48M 0S
0,0,47M 42S
0,3,47M 24S
2,3,47M 10S
2,6,46M 43S
4,6,46M 20S
4,8,46M 9S
7,8,45M 52S
7,10,45M 40S
10,10,45M 26S
10,12,44M 12S
12,12,43M 59S
12,14,43M 40S
14,14,43M 30S
14,16,43M 13S
17,16,43M 2S
17,18,42M 48S
17,20,42M 24S
19,20,42M 9S
19,22,41M 46S
22,22,41M 33S
22,25,40M 38S
25,25,40M 20S
25,28,39M 55S
27,28,39M 36S
27,31,38M 50S
29,31,38M 33S
31,31,37M 57S
31,33,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,35,35M 17S
33,35,34M 9S
35,35,33M 51S
35,37,33M 26S
38,37,33M 15S
38,38,32M 53S
38,39,32M 53S
40,39,32M 31S
40,41,32M 25S
42,41,32M 4S
42,44,31M 47S
45,44,31M 29S
47,44,31M 3S
47,46,30M 43S
50,46,30M 8S
50,49,29M 45S
50,51,28M 44S
52,51,28M 33S
54,51,28M 1S
56,51,26M 14S
Jump ball: J. Grant vs. M. Smart (K. Hayes gains possession),NA,25M 52S
58,51,24M 56S
58,54,24M 43S
58,55,24M 33S
58,56,24M 33S
61,56,24M 17S
61,57,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,59,23M 40S
61,61,23M 25S
61,62,23M 25S
63,62,23M 12S
66,62,22M 45S
66,65,22M 30S
67,65,22M 12S
67,68,21M 34S
69,68,21M 17S
71,68,20M 33S
73,68,20M 3S
73,69,19M 34S
75,69,18M 42S
75,71,18M 16S
77,71,18M 8S
79,71,17M 31S
79,73,17M 19S
81,73,16M 59S
81,75,16M 34S
83,75,16M 26S
83,77,16M 13S
83,79,15M 51S
84,79,15M 29S
85,79,15M 29S
85,82,15M 9S
86,82,14M 30S
87,82,14M 30S
87,84,13M 42S
87,86,13M 21S
89,86,13M 4S
91,86,12M 41S
91,87,12M 32S
91,88,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,88,11M 22S
94,91,11M 11S
97,91,10M 30S
97,92,10M 22S
97,93,10M 22S
98,93,9M 44S
98,96,9M 22S
100,96,8M 57S
100,98,8M 29S
103,98,8M 13S
103,99,8M 7S
103,100,8M 7S
106,100,7M 48S
106,101,7M 19S
106,102,7M 19S
106,105,6M 46S
106,108,6M 1S
108,108,5M 34S
108,111,4M 51S
110,111,4M 29S
111,111,4M 29S
111,112,3M 57S
111,113,3M 57S
112,113,3M 44S
113,113,3M 44S
115,113,1M 56S
117,113,1M 46S
117,115,1M 35S
117,116,1M 16S
117,117,42S
117,118,42S
120,118,34S
120,119,22S
120,120,22S
122,120,2S
End of 4th quarter,NA,0S
