San Antonio,Detroit,time_rem
20-16,10-29,48M 0S
0,2,47M 44S
2,2,47M 32S
2,5,47M 10S
4,5,46M 36S
4,8,46M 12S
6,8,44M 46S
6,10,44M 26S
8,10,44M 1S
10,10,43M 39S
10,11,43M 21S
10,13,42M 43S
12,13,42M 22S
12,14,42M 2S
12,15,42M 2S
14,15,41M 27S
16,15,40M 49S
19,15,40M 14S
19,18,39M 41S
19,20,39M 16S
21,20,38M 21S
21,22,38M 0S
21,24,37M 14S
24,24,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,24,35M 42S
26,26,34M 44S
29,26,34M 30S
31,26,33M 57S
31,28,33M 44S
34,28,32M 53S
34,30,32M 32S
36,30,32M 13S
36,32,32M 1S
38,32,31M 45S
38,34,31M 23S
40,34,30M 59S
42,34,30M 20S
45,34,29M 58S
45,36,29M 23S
47,36,29M 7S
47,38,28M 56S
49,38,28M 42S
49,40,28M 14S
51,40,27M 55S
51,42,27M 41S
51,44,27M 9S
51,46,26M 31S
53,46,26M 18S
55,46,25M 47S
55,49,25M 14S
57,49,24M 58S
57,50,24M 43S
60,50,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,53,23M 37S
61,53,23M 17S
62,53,23M 17S
64,53,22M 42S
66,53,22M 15S
66,55,21M 57S
68,55,21M 40S
69,55,21M 40S
69,57,20M 38S
69,59,19M 11S
71,59,18M 58S
74,59,17M 56S
74,60,17M 35S
76,60,17M 19S
76,62,17M 2S
76,64,16M 21S
76,65,15M 56S
76,66,15M 56S
78,66,15M 39S
80,66,15M 15S
82,66,14M 44S
82,68,14M 25S
84,68,14M 13S
84,70,13M 58S
87,70,13M 46S
87,71,13M 42S
90,71,13M 27S
92,71,12M 51S
92,73,12M 30S
92,75,12M 5S
95,75,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,75,11M 2S
98,77,10M 44S
98,78,10M 22S
98,79,10M 22S
101,79,10M 4S
101,81,8M 26S
101,83,7M 55S
103,83,7M 30S
105,83,6M 37S
105,85,5M 27S
107,85,4M 48S
107,86,3M 57S
107,87,3M 34S
109,87,3M 15S
109,88,2M 46S
109,89,2M 46S
109,91,2M 15S
109,93,1M 34S
109,96,32S
109,99,2S
End of 4th quarter,NA,0S
