Phoenix,LA Clippers,time_rem
3-1,1-3,48M 0S
2,0,47M 47S
3,0,47M 47S
3,2,47M 26S
5,2,47M 11S
7,2,46M 16S
10,2,45M 45S
12,2,45M 25S
14,2,43M 59S
14,5,43M 41S
14,7,43M 3S
14,9,41M 55S
16,9,41M 25S
18,9,40M 55S
20,9,40M 28S
20,11,40M 5S
21,11,39M 43S
21,12,39M 43S
21,13,39M 43S
22,13,39M 34S
23,13,39M 34S
23,16,39M 16S
23,17,39M 3S
25,17,38M 56S
25,20,38M 42S
27,20,37M 50S
29,20,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,22,35M 46S
29,24,34M 26S
31,24,34M 10S
31,26,33M 48S
34,26,33M 32S
37,26,31M 39S
39,26,31M 21S
41,26,28M 26S
41,28,27M 40S
44,28,27M 17S
44,29,27M 2S
44,30,26M 49S
44,31,26M 49S
46,31,26M 29S
46,33,25M 29S
48,33,25M 14S
48,36,24M 26S
50,36,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,36,23M 30S
52,36,23M 30S
52,38,23M 9S
52,40,22M 32S
52,41,22M 15S
52,42,22M 15S
54,42,21M 58S
54,44,21M 35S
55,44,20M 10S
57,44,19M 48S
57,46,19M 23S
59,46,18M 44S
59,48,18M 14S
59,49,18M 14S
59,51,17M 47S
59,53,17M 25S
61,53,16M 48S
61,55,16M 30S
63,55,16M 10S
63,58,15M 32S
63,59,15M 3S
65,59,14M 48S
65,60,14M 32S
65,61,14M 32S
65,63,14M 14S
66,63,13M 54S
66,65,13M 35S
67,65,13M 23S
68,65,13M 14S
69,65,13M 14S
69,66,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,66,11M 38S
71,68,10M 33S
71,69,10M 7S
71,70,10M 7S
73,70,6M 23S
73,71,6M 0S
73,72,6M 0S
75,72,5M 13S
75,74,4M 57S
77,74,3M 43S
78,74,2M 16S
79,74,2M 16S
79,76,58S
79,77,13S
79,78,13S
80,78,7S
81,78,7S
81,79,5S
82,79,3S
82,80,3S
83,80,1S
84,80,1S
End of 4th quarter,NA,0S
