Orlando,Boston,time_rem
6-6,8-3,48M 0S
0,3,47M 46S
2,3,46M 53S
4,3,46M 29S
4,5,46M 14S
4,7,45M 26S
4,9,44M 59S
6,9,44M 38S
6,11,44M 0S
6,13,43M 43S
9,13,43M 22S
11,13,42M 47S
11,15,42M 20S
11,16,42M 20S
13,16,42M 1S
13,17,41M 51S
13,18,41M 51S
13,19,41M 51S
13,22,41M 22S
16,22,41M 7S
16,25,40M 39S
18,25,40M 25S
18,28,40M 9S
20,28,39M 17S
20,30,39M 0S
22,30,38M 48S
22,32,38M 1S
24,32,37M 9S
25,32,36M 36S
26,32,36M 36S
26,34,36M 17S
28,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,35M 18S
32,34,34M 36S
35,34,33M 36S
35,37,33M 21S
35,39,32M 44S
36,39,32M 23S
36,42,32M 5S
36,44,31M 28S
37,44,30M 49S
38,44,30M 49S
38,45,30M 40S
38,46,30M 40S
39,46,29M 52S
40,46,29M 52S
40,49,29M 30S
40,51,28M 55S
42,51,28M 11S
Jump ball: T. Thompson vs. D. Bacon (P. Pritchard gains possession),NA,27M 42S
42,52,27M 17S
42,53,27M 17S
42,54,27M 17S
42,55,27M 17S
43,55,27M 9S
44,55,27M 9S
44,58,26M 37S
46,58,26M 22S
46,60,25M 59S
48,60,25M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,60,23M 43S
50,61,23M 20S
50,62,23M 20S
50,64,23M 1S
53,64,22M 48S
53,67,22M 23S
53,69,21M 35S
55,69,21M 17S
57,69,20M 52S
59,69,20M 27S
59,72,20M 4S
61,72,19M 40S
62,72,19M 40S
63,72,19M 18S
64,72,19M 18S
66,72,18M 55S
66,74,18M 22S
68,74,17M 26S
68,76,17M 12S
68,79,16M 52S
68,81,15M 9S
68,83,14M 17S
Jump ball: K. Birch vs. M. Smart (A. Gordon gains possession),NA,13M 13S
68,85,12M 48S
70,85,12M 39S
70,88,12M 34S
72,88,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,91,11M 41S
72,93,11M 0S
72,94,10M 42S
72,95,10M 42S
72,97,10M 31S
72,98,10M 31S
72,101,10M 6S
74,101,9M 15S
74,102,9M 0S
77,102,8M 49S
77,104,8M 35S
79,104,8M 16S
80,104,7M 55S
81,104,7M 55S
81,107,7M 45S
84,107,7M 20S
86,107,6M 34S
88,107,6M 12S
88,109,6M 2S
88,110,6M 2S
88,113,5M 39S
91,113,5M 14S
91,115,3M 26S
Jump ball: K. Mané vs. T. Waters (C. Anthony gains possession),NA,3M 1S
91,117,2M 44S
93,117,2M 8S
93,120,1M 28S
95,120,1M 7S
95,122,58S
95,124,37S
97,124,27S
End of 4th quarter,NA,0S
