Miami,LA Clippers,time_rem
11-16,21-8,48M 0S
3,0,47M 40S
5,0,47M 1S
7,0,46M 28S
7,3,46M 15S
7,5,46M 0S
7,7,45M 28S
7,8,45M 28S
10,8,44M 48S
10,10,44M 28S
10,11,44M 28S
12,11,43M 57S
12,13,43M 34S
14,13,43M 21S
14,15,43M 6S
16,15,42M 53S
18,15,42M 24S
18,17,42M 10S
20,17,41M 57S
21,17,41M 57S
21,19,41M 43S
24,19,41M 27S
24,21,41M 9S
26,21,40M 48S
26,24,40M 37S
28,24,40M 14S
28,27,39M 56S
28,28,39M 56S
28,29,38M 54S
28,30,38M 42S
28,31,38M 42S
30,31,38M 12S
30,33,37M 24S
32,33,37M 10S
33,33,37M 10S
35,33,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,33,35M 39S
40,33,35M 12S
40,35,34M 26S
40,38,33M 56S
40,40,33M 39S
41,40,33M 16S
42,40,33M 16S
42,42,32M 57S
44,42,32M 44S
44,45,32M 30S
44,46,31M 55S
44,47,31M 55S
44,50,31M 28S
44,53,30M 50S
46,53,30M 29S
48,53,29M 38S
48,56,29M 26S
50,56,28M 39S
52,56,28M 27S
52,59,28M 9S
52,61,27M 34S
55,61,27M 12S
57,61,26M 40S
57,62,26M 5S
59,62,25M 42S
59,64,25M 23S
61,64,25M 8S
62,64,25M 8S
62,67,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,68,23M 40S
62,69,23M 40S
63,69,23M 21S
64,69,23M 21S
64,71,23M 5S
66,71,21M 20S
66,73,21M 1S
66,75,20M 31S
68,75,20M 24S
69,75,20M 24S
70,75,19M 59S
71,75,19M 59S
72,75,19M 30S
73,75,19M 30S
76,75,19M 1S
76,77,18M 3S
78,77,17M 47S
80,77,17M 11S
80,79,17M 4S
80,80,17M 4S
82,80,16M 43S
82,82,15M 24S
84,82,14M 22S
84,84,14M 8S
85,84,13M 41S
86,84,13M 41S
86,87,13M 26S
86,89,12M 57S
89,89,12M 44S
89,92,12M 33S
91,92,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,92,11M 34S
93,93,11M 12S
93,94,11M 12S
93,96,10M 34S
93,98,10M 0S
93,100,9M 1S
95,100,8M 42S
97,100,8M 10S
99,100,7M 41S
99,102,7M 22S
99,105,6M 19S
101,105,6M 5S
101,108,5M 46S
101,110,5M 17S
101,112,4M 49S
103,112,4M 31S
105,112,3M 55S
105,115,3M 28S
105,117,2M 58S
106,117,2M 46S
107,117,2M 46S
108,117,2M 21S
109,117,2M 21S
111,117,1M 52S
111,119,1M 34S
111,121,1M 5S
114,121,1M 0S
116,121,43S
116,123,36S
118,123,8S
118,124,7S
118,125,7S
End of 4th quarter,NA,0S
