Miami,Chicago,time_rem
20-18,16-20,48M 0S
2,0,47M 43S
2,3,47M 27S
4,3,47M 2S
7,3,46M 29S
7,6,46M 17S
7,8,44M 22S
10,8,44M 6S
11,8,43M 42S
12,8,43M 42S
12,10,43M 30S
14,10,43M 20S
14,13,43M 10S
16,13,42M 45S
16,16,42M 27S
19,16,42M 14S
21,16,41M 45S
22,16,41M 45S
25,16,40M 12S
27,16,38M 41S
27,18,38M 10S
27,21,36M 31S
29,21,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,34M 49S
31,23,33M 34S
31,25,33M 23S
32,25,33M 5S
34,25,32M 32S
34,28,32M 26S
35,28,32M 13S
35,30,32M 3S
35,31,30M 2S
35,32,30M 2S
36,32,29M 53S
37,32,29M 53S
37,34,28M 52S
40,34,28M 32S
40,37,27M 16S
41,37,27M 4S
42,37,27M 4S
42,40,26M 18S
42,42,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,42,23M 3S
44,44,22M 17S
47,44,21M 52S
49,44,21M 31S
49,46,21M 11S
51,46,20M 27S
51,49,20M 17S
53,49,19M 4S
53,52,18M 44S
55,52,18M 27S
56,52,18M 27S
56,53,18M 19S
56,54,18M 19S
58,54,17M 44S
58,56,17M 34S
58,57,17M 34S
60,57,16M 57S
60,60,16M 42S
63,60,16M 0S
63,62,15M 40S
65,62,15M 1S
65,65,14M 43S
67,65,14M 8S
67,68,13M 48S
68,68,13M 6S
70,68,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,70,11M 28S
73,70,11M 14S
73,72,10M 23S
74,72,10M 2S
75,72,10M 2S
78,72,9M 37S
Jump ball: W. Carter vs. C. Silva (D. Valentine gains possession),NA,9M 14S
81,72,8M 50S
81,74,7M 46S
84,74,7M 24S
84,76,7M 5S
86,76,6M 21S
86,78,6M 7S
88,78,5M 57S
88,80,5M 32S
90,80,5M 11S
90,82,5M 1S
91,82,4M 42S
93,82,4M 5S
96,82,3M 26S
96,85,2M 23S
98,85,2M 0S
98,88,1M 50S
100,88,1M 36S
100,89,1M 31S
100,90,1M 31S
101,90,1M 12S
End of 4th quarter,NA,0S
