Chicago,Sacramento,time_rem
4-5,4-4,48M 0S
0,0,47M 35S
0,2,47M 20S
3,2,47M 9S
3,4,46M 46S
6,4,46M 37S
6,7,45M 56S
6,8,44M 55S
7,8,44M 16S
7,10,44M 8S
9,10,43M 48S
9,13,43M 36S
11,13,43M 25S
11,14,42M 34S
11,16,42M 21S
13,16,41M 57S
13,18,41M 15S
16,18,41M 3S
17,18,40M 43S
18,18,40M 43S
18,20,39M 20S
18,21,38M 55S
18,22,38M 55S
20,22,38M 38S
22,22,38M 13S
22,24,37M 41S
25,24,37M 22S
25,26,36M 42S
25,28,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,30,35M 51S
25,31,34M 39S
25,32,34M 39S
27,32,34M 25S
27,34,34M 9S
30,34,33M 51S
30,36,33M 33S
32,36,33M 21S
32,39,32M 59S
32,42,32M 29S
32,44,31M 59S
35,44,31M 42S
37,44,31M 9S
37,45,30M 54S
39,45,30M 37S
39,47,30M 27S
42,47,30M 14S
42,50,29M 52S
42,51,29M 34S
42,52,29M 34S
45,52,29M 22S
45,54,29M 5S
47,54,28M 9S
49,54,27M 27S
52,54,26M 56S
52,56,26M 7S
52,58,25M 34S
52,60,25M 13S
54,60,24M 58S
54,61,24M 44S
54,62,24M 44S
57,62,24M 32S
59,62,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,64,23M 47S
61,64,22M 42S
61,65,22M 29S
62,65,22M 10S
63,65,22M 10S
65,65,21M 42S
65,67,21M 32S
65,69,21M 8S
65,72,20M 36S
68,72,20M 12S
68,75,19M 37S
68,77,18M 59S
70,77,18M 25S
73,77,18M 11S
73,79,17M 49S
74,79,17M 17S
76,79,16M 44S
78,79,16M 2S
78,80,15M 49S
78,81,15M 49S
80,81,15M 38S
80,83,15M 24S
82,83,15M 13S
82,84,14M 58S
85,84,14M 46S
85,87,14M 27S
87,87,14M 13S
87,89,14M 0S
89,89,13M 26S
89,91,13M 19S
91,91,12M 49S
93,91,12M 29S
93,92,12M 12S
93,93,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,93,11M 16S
95,95,11M 2S
95,98,10M 28S
97,98,10M 15S
98,98,10M 15S
98,101,9M 56S
100,101,9M 40S
100,103,8M 36S
102,103,8M 18S
103,103,8M 4S
104,103,8M 4S
106,103,7M 25S
106,105,6M 38S
108,105,6M 19S
108,108,5M 58S
108,110,5M 19S
110,110,5M 1S
110,112,4M 43S
110,113,4M 43S
112,113,4M 32S
112,116,3M 41S
112,118,3M 0S
114,118,2M 44S
115,118,2M 44S
115,120,2M 28S
117,120,2M 7S
118,120,1M 34S
119,120,1M 34S
119,123,38S
119,124,38S
121,124,35S
121,127,12S
124,127,3S
124,128,1S
End of 4th quarter,NA,0S
